209350::RHBPKCPULCGKFB-UHFFFAOYSA-N,-8.4
209355::NQUXUVXCMJRKGW-UHFFFAOYSA-N,-8.1
209357::XRIOZKJZXDCGQY-UHFFFAOYSA-N,-8.5
214588::SLUJDDSDOXSLCL-UHFFFAOYSA-N,-11.5
216448::SPONHPDHHBKHKE-UHFFFAOYSA-N,-9.6
218601::GKNPJPQFGSIVFI-IFMALSPDSA-N,-9.8
228251::LYFAZDMTFHLILE-OYRHEFFESA-N,-10.1
241867::OUNHOTBRNWANCV-TWJSXCEWSA-N,-8.3
241869::VOMNKDOKCKYHET-PNCXRPFASA-N,-7.7
241873::WVYVPDZWHALUDA-LXPFDGTPSA-N,-8.0
246091::URUVTYNFQAZEMS-UHFFFAOYSA-N,-9.3
246391::CIGFCAJNHRIRIV-UHFFFAOYSA-N,-8.7
247418::ZEUDFUNISLCCKE-GYCJOSAFSA-N,-11.2
249189::CDSQMEYITYMMTN-GHRVZJKLSA-N,-7.9
249891::GQIUCZODBZCWCR-UHFFFAOYSA-N,-8.9
249897::GHOZCDNEAFFBLD-UHFFFAOYSA-N,-8.9
250024::DMNBLZGDPWIMPA-UHFFFAOYSA-N,-9.2
251497::OWWZQKFMHXISPG-UHFFFAOYSA-N,-10.0
251515::DFHNPLPBHYMUAW-UHFFFAOYSA-N,-10.1
251523::VJMOXJYFZUYUTA-UHFFFAOYSA-N,-10.1
251543::CDJHHHAMGANBEP-UHFFFAOYSA-N,-9.3
255164::JYBCVDDGBWTHAA-UHFFFAOYSA-N,-10.7
255165::GREKLMMWBANNCN-UHFFFAOYSA-N,-9.9
255198::FVGYLCGYLBMODV-UHFFFAOYSA-N,-10.3
255407::AJYQMBGZMHIGFO-SJORKVTESA-N,-10.7
255408::JFGCIZGMDWOBAA-MSOLQXFVSA-N,-10.7
255413::DREQJRUWILSYFF-SJORKVTESA-N,-10.9
255445::CAEKPHPZEPCPFV-CABCVRRESA-N,-11.3
255451::ZSXJVMFPGSHFOY-SJORKVTESA-N,-10.7
255452::MQDMOJQCNGQOGF-CVEARBPZSA-N,-11.0
255457::STVXXJRFJRWRCV-SJORKVTESA-N,-11.0
267445::KTIPIUBAJJNKRV-LJQANCHMSA-N,-8.3
267528::SYRJZYXLLNMEGR-HSZRJFAPSA-N,-10.4
267603::FRAPHDQDRKHANO-YADARESESA-N,-9.9
267613::ZEEKOIVETCTICW-SIKLNZKXSA-N,-9.5
267684::ASYGWMBWDHGEMG-GOSISDBHSA-N,-9.6
267685::QSTOILCGEDLZDI-HXUWFJFHSA-N,-10.0
267686::VTJGMNANVAUMBW-HXUWFJFHSA-N,-9.7
267747::GWPFCPBHGVAONT-GOSISDBHSA-N,-9.5
267763::HFQGGYGUKLGRIN-LJQANCHMSA-N,-10.9
267862::KLLUNBKPHALPNX-GOSISDBHSA-N,-9.5
